coso,publisher,site,canal,format,origen
"""QX_ES_Canarias7""","""canarias7""","""canarias7""","""any""","""native""","quantum"
"""QX_ES_Lavanguardia""","""godo""","""lavanguardia""","""any""","""native""","quantum"
"""QX_ES_Mundodeportivo""","""godo""","""mundodeportivo""","""any""","""native""","quantum"
"""QX_ES_Hola.com""","""hola""","""tuotrodiario""","""any""","""native""","quantum"
"""QX_ES_Lavozdeasturias""","""lavozdegalicia""","""lavozdeasturias""","""any""","""native""","quantum"
"""QX_ES_Lavozdegalicia""","""lavozdegalicia""","""lavozdegalicia""","""any""","""native""","quantum"
"""QX_ES_As""","""prisa""","""as""","""any""","""native""","quantum"
"""QX_ES_Cadena ser""","""prisa""","""cadenaser""","""any""","""native""","quantum"
"""QX_ES_El pais""","""prisa""","""elpais""","""any""","""native""","quantum"
"""QX_ES_Huffingtonpost""","""prisa""","""huffingtonpost""","""any""","""native""","quantum"
"""QX_ES_Los 40""","""prisa""","""los40""","""any""","""native""","quantum"
"""QX_ES_ABC""","""vocento""","""abc""","""any""","""native""","quantum"
"""QX_ES_BurgosConecta""","""vocento""","""burgosconecta""","""any""","""native""","quantum"
"""QX_ES_DiarioSur""","""vocento""","""diariosur""","""any""","""native""","quantum"
"""QX_ES_Diariovasco""","""vocento""","""diariovasco""","""any""","""native""","quantum"
"""QX_ES_Elbierzonoticias""","""vocento""","""elbierzonoticias""","""any""","""native""","quantum"
"""QX_ES_Elcomercio""","""vocento""","""elcomercio""","""any""","""native""","quantum"
"""QX_ES_Elcorreo""","""vocento""","""elcorreo""","""any""","""native""","quantum"
"""QX_ES_Eldiariomontanes""","""vocento""","""eldiariomontanes""","""any""","""native""","quantum"
"""QX_ES_Elnortedecastilla""","""vocento""","""elnortedecastilla""","""any""","""native""","quantum"
"""QX_ES_Hoy""","""vocento""","""hoy""","""any""","""native""","quantum"
"""QX_ES_ideal""","""vocento""","""ideal""","""any""","""native""","quantum"
"""QX_ES_Larioja""","""vocento""","""larioja""","""any""","""native""","quantum"
"""QX_ES_Lasprovincias""","""vocento""","""lasprovincias""","""any""","""native""","quantum"
"""QX_ES_Laverdad""","""vocento""","""laverdad""","""any""","""native""","quantum"
"""QX_ES_Leonoticias""","""vocento""","""leonoticias""","""any""","""native""","quantum"
"""QX_ES_Tuotrodiario""","""hola""","""tuotrodiario""","""any""","""native""","quantum"