coso	publisher	site	channel	origen
es_intxt_wemass_biwenger_html5#es002790	prisa	biwenger		smartclip
es_intxt_wemass_meristation_html5#es002790	prisa	meristation		smartclip
es_intxt_wemass_strambotic_html5#es002790	prisa	huffingtonpost_strambotic		smartclip
es_intxt_wemass-abc_amp#es002790	vocento	abc	amp	smartclip
es_intxt_wemass-abc_html5#es002790	vocento	abc		smartclip
es_intxt_wemass-abcsevilla_amp#es002790	vocento	abcsevilla	amp	smartclip
es_intxt_wemass-abcsevilla_html5#es002790	vocento	abcsevilla		smartclip
es_intxt_wemass-as_amp#es002790	prisa	as	amp	smartclip
es_intxt_wemass-as_html5#es002790	prisa	as		smartclip
es_intxt_wemass-as-ejerciciosencasa_amp#es002790	prisa	as_ejerciciosencasa	amp	smartclip
es_intxt_wemass-as-ejerciciosencasa_html5#es002790	prisa	as_ejerciciosencasa		smartclip
es_intxt_wemass-as-esports_amp#es002790	prisa	as_esports	amp	smartclip
es_intxt_wemass-as-esports_html5#es002790	prisa	as_esports		smartclip
es_intxt_wemass-as-futbol_amp#es002790	prisa	as_futbol	amp	smartclip
es_intxt_wemass-as-futbol_html5#es002790	prisa	as_futbol		smartclip
es_intxt_wemass-as-motor_amp#es002790	prisa	as_motor	amp	smartclip
es_intxt_wemass-as-motor_html5#es002790	prisa	as_motor		smartclip
es_intxt_wemass-as-tikitakas_amp#es002790	prisa	as_tikitakas	amp	smartclip
es_intxt_wemass-as-tikitakas_html5#es002790	prisa	as_tikitakas		smartclip
es_intxt_wemass-biwenger_amp#es002790	prisa	biwenger	amp	smartclip
es_intxt_wemass-biwenger_html5#es002790	prisa	biwenger		smartclip
es_intxt_wemass-buenavida_html5#es002790	prisa	elpais_buenavida		smartclip
es_intxt_wemass-burgosconecta_amp#es002790	vocento	burgosconecta	amp	smartclip
es_intxt_wemass-burgosconecta_html5#es002790	vocento	burgosconecta		smartclip
es_intxt_wemass-cadenaser_amp#es002790	prisa	cadenaser	amp	smartclip
es_intxt_wemass-cadenaser_html5#es002790	prisa	cadenaser		smartclip
es_intxt_wemass-canarias7_amp#es002790	canarias7	canarias7	amp	smartclip
es_intxt_wemass-canarias7_html5#es002790	canarias7	canarias7		smartclip
es_intxt_wemass-diariomontañes_html5#es002790	vocento	eldiariomontanes		smartclip
es_intxt_wemass-diariomontanes_amp#es002790	vocento	eldiariomontanes	amp	smartclip
es_intxt_wemass-diariosur_amp#es002790	vocento	diariosur	amp	smartclip
es_intxt_wemass-diariosur_html5#es002790	vocento	diariosur		smartclip
es_intxt_wemass-diariovasco_amp#es002790	vocento	diariovasco	amp	smartclip
es_intxt_wemass-diariovasco_html5#es002790	vocento	diariovasco		smartclip
es_intxt_wemass-elbierzonoticias_amp#es002790	vocento	elbierzonoticias	amp	smartclip
es_intxt_wemass-elbierzonoticias_html5#es002790	vocento	elbierzonoticias		smartclip
es_intxt_wemass-elcomercio_amp#es002790	vocento	elcomercio	amp	smartclip
es_intxt_wemass-elcomercio_html5#es002790	vocento	elcomercio		smartclip
es_intxt_wemass-elcomidista_amp#es002790	prisa	elpais_comidista	amp	smartclip
es_intxt_wemass-elcomidista_html5#es002790	prisa	elpais_comidista		smartclip
es_intxt_wemass-elcorreo_amp#es002790	vocento	elcorreo	amp	smartclip
es_intxt_wemass-elcorreo_html5#es002790	vocento	elcorreo		smartclip
es_intxt_wemass-elnortedecastilla_amp#es002790	vocento	elnortedecastilla	amp	smartclip
es_intxt_wemass-elnortedecastilla_html5#es002790	vocento	elnortedecastilla		smartclip
es_intxt_wemass-elpais_amp#es002790	prisa	elpais	amp	smartclip
es_intxt_wemass-elpais_html5#es002790	prisa	elpais		smartclip
es_intxt_wemass-elpais-cat_amp#es002790	prisa	elpais_cat	amp	smartclip
es_intxt_wemass-elpais-cat_html5#es002790	prisa	elpais_cat		smartclip
es_intxt_wemass-elpais-cincodias_amp#es002790	prisa	elpais_finanzas_cincodias	amp	smartclip
es_intxt_wemass-elpais-cincodias_html5#es002790	prisa	elpais_finanzas_cincodias		smartclip
es_intxt_wemass-elpais-cultura_amp#es002790	prisa	elpais_cultura	amp	smartclip
es_intxt_wemass-elpais-cultura_html5#es002790	prisa	elpais_cultura		smartclip
es_intxt_wemass-elpais-deportes_amp#es002790	prisa	elpais_deportes	amp	smartclip
es_intxt_wemass-elpais-deportes_html5#es002790	prisa	elpais_deportes		smartclip
es_intxt_wemass-elpais-economia_amp#es002790	prisa	elpais_finanzas_economia	amp	smartclip
es_intxt_wemass-elpais-economia_html5#es002790	prisa	elpais_finanzas_economia		smartclip
es_intxt_wemass-elpais-eps_html5#es002790	prisa	elpais_eps		smartclip
es_intxt_wemass-elpais-estilo_amp#es002790	prisa	elpais_estilo	amp	smartclip
es_intxt_wemass-elpais-estilo_html5#es002790	prisa	elpais_estilo		smartclip
es_intxt_wemass-elpais-gente_amp#es002790	prisa	elpais_gente	amp	smartclip
es_intxt_wemass-elpais-gente_html5#es002790	prisa	elpais_gente		smartclip
es_intxt_wemass-elpais-icon_amp#es002790	prisa	elpais_icon	amp	smartclip
es_intxt_wemass-elpais-icon_html5#es002790	prisa	elpais_icon		smartclip
es_intxt_wemass-elpais-icondesign_amp#es002790	prisa	elpais_icon_design	amp	smartclip
es_intxt_wemass-elpais-icondesign_html5#es002790	prisa	elpais_icon_design		smartclip
es_intxt_wemass-elpais-motor_amp#es002790	prisa	elpais_motor	amp	smartclip
es_intxt_wemass-elpais-motor_html5#es002790	prisa	elpais_motor		smartclip
es_intxt_wemass-elpais-retina_amp#es002790	prisa	elpais_finanzas_retina	amp	smartclip
es_intxt_wemass-elpais-retina_html5#es002790	prisa	elpais_finanzas_retina		smartclip
es_intxt_wemass-elpais-smoda_amp#es002790	prisa	elpais_smoda	amp	smartclip
es_intxt_wemass-elpais-smoda_html5#es002790	prisa	elpais_smoda		smartclip
es_intxt_wemass-elpais-tech_amp#es002790	prisa	elpais_tecnologia	amp	smartclip
es_intxt_wemass-elpais-tech_html5#es002790	prisa	elpais_tecnologia		smartclip
es_intxt_wemass-elpais-tentaciones_amp#es002790	prisa	elpais_tentaciones	amp	smartclip
es_intxt_wemass-elpais-tentaciones_html5#es002790	prisa	elpais_tentaciones		smartclip
es_intxt_wemass-elpais-verne_amp#es002790	prisa	elpais_verne	amp	smartclip
es_intxt_wemass-elpais-verne_html5#es002790	prisa	elpais_verne		smartclip
es_intxt_wemass-elpais-viajero_amp#es002790	prisa	elpais_elviajero	amp	smartclip
es_intxt_wemass-elpais-viajero_html5#es002790	prisa	elpais_elviajero		smartclip
es_intxt_wemass-hola_amp#es002790	hola	hola	amp	smartclip
es_intxt_wemass-hola_html5#es002790	hola	hola		smartclip
es_intxt_wemass-hoy_amp#es002790	vocento	hoy	amp	smartclip
es_intxt_wemass-hoy_html5#es002790	vocento	hoy		smartclip
es_intxt_wemass-huffingtonpost_amp#es002790	prisa	huffingtonpost	amp	smartclip
es_intxt_wemass-huffingtonpost_html5#es002790	prisa	huffingtonpost		smartclip
es_intxt_wemass-ideal_amp#es002790	vocento	ideal	amp	smartclip
es_intxt_wemass-ideal_html5#es002790	vocento	ideal		smartclip
es_intxt_wemass-larioja_amp#es002790	vocento	larioja	amp	smartclip
es_intxt_wemass-larioja_html5#es002790	vocento	larioja		smartclip
es_intxt_wemass-lasprovincias_amp#es002790	vocento	lasprovincias	amp	smartclip
es_intxt_wemass-lasprovincias_html5#es002790	vocento	lasprovincias		smartclip
es_intxt_wemass-lavanguardia_amp#es002790	godo	lavanguardia	amp	smartclip
es_intxt_wemass-lavanguardia_html5#es002790	godo	lavanguardia		smartclip
es_intxt_wemass-laverdad_amp#es002790	vocento	laverdad	amp	smartclip
es_intxt_wemass-laverdad_html5#es002790	vocento	laverdad		smartclip
es_intxt_wemass-lavozdeasturias_amp#es002790	lavozdegalicia	lavozdeasturias	amp	smartclip
es_intxt_wemass-lavozdeasturias_html5#es002790	lavozdegalicia	lavozdeasturias		smartclip
es_intxt_wemass-lavozdegalicia_amp#es002790	lavozdegalicia	lavozdegalicia	amp	smartclip
es_intxt_wemass-lavozdegalicia_html5#es002790	lavozdegalicia	lavozdegalicia		smartclip
es_intxt_wemass-lavozdigital_amp#es002790	vocento	lavozdigital	amp	smartclip
es_intxt_wemass-lavozdigital_html5#es002790	vocento	lavozdigital		smartclip
es_intxt_wemass-leonnoticias_amp#es002790	vocento	leonoticias	amp	smartclip
es_intxt_wemass-leonnoticias_html5#es002790	vocento	leonoticias		smartclip
es_intxt_wemass-los40_amp#es002790	prisa	los40	amp	smartclip
es_intxt_wemass-los40_html5#es002790	prisa	los40		smartclip
es_intxt_wemass-meristation_amp#es002790	prisa	meristation	amp	smartclip
es_intxt_wemass-meristation_html5#es002790	prisa	meristation		smartclip
es_intxt_wemass-mujerhoy_amp#es002790	vocento	mujerhoy	amp	smartclip
es_intxt_wemass-mujerhoy_html5#es002790	vocento	mujerhoy		smartclip
es_intxt_wemass-mundodeportivo_amp#es002790	godo	mundodeportivo	amp	smartclip
es_intxt_wemass-mundodeportivo_html5#es002790	godo	mundodeportivo		smartclip
es_intxt_wemass-rac1_html5#es002790	godo	rac1		smartclip
es_intxt_wemass-tuotrodiario_amp#es002790	hola	tuotrodiario	amp	smartclip
es_intxt_wemass-tuotrodiario_html5#es002790	hola	tuotrodiario		smartclip
es_intxt_wemass-xlsemanal_amp#es002790	vocento	xlsemanal	amp	smartclip
es_intxt_wemass-xlsemanal_html5#es002790	vocento	xlsemanal		smartclip
